timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561377960976,2753,HTTP请求,200,OK,线程组 1-332,text,true,,21923,311,500,500,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,2183,0,39
1561377960976,2220,HTTP请求-0,302,Found,线程组 1-332,text,true,,12072,140,500,500,http://47.92.89.243:7801/Device/Devicemanage,2183,0,39
1561377963196,533,HTTP请求-1,200,OK,线程组 1-332,text,true,,9851,171,500,500,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,116,0,38
1561377960696,3491,HTTP请求,200,OK,线程组 1-408,text,true,,21923,311,499,499,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,1211,0,44
1561377960696,1252,HTTP请求-0,302,Found,线程组 1-408,text,true,,12072,140,499,499,http://47.92.89.243:7801/Device/Devicemanage,1211,0,44
1561377961949,2238,HTTP请求-1,200,OK,线程组 1-408,text,true,,9851,171,499,499,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,546,0,0
1561377960705,3655,HTTP请求,200,OK,线程组 1-416,text,true,,21923,311,498,498,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,2536,0,48
1561377960705,3448,HTTP请求-0,302,Found,线程组 1-416,text,true,,12072,140,498,498,http://47.92.89.243:7801/Device/Devicemanage,2536,0,48
1561377964153,207,HTTP请求-1,200,OK,线程组 1-416,text,true,,9851,171,498,498,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,164,0,74
1561377960703,4856,HTTP请求,200,OK,线程组 1-419,text,true,,21923,311,497,497,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,2587,0,39
1561377960703,4380,HTTP请求-0,302,Found,线程组 1-419,text,true,,12072,140,497,497,http://47.92.89.243:7801/Device/Devicemanage,2587,0,39
1561377965083,476,HTTP请求-1,200,OK,线程组 1-419,text,true,,9851,171,497,497,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,476,0,44
1561377960746,6620,HTTP请求,200,OK,线程组 1-74,text,true,,21923,311,496,496,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,1193,0,44
1561377960746,5463,HTTP请求-0,302,Found,线程组 1-74,text,true,,12072,140,496,496,http://47.92.89.243:7801/Device/Devicemanage,1193,0,44
1561377966209,1157,HTTP请求-1,200,OK,线程组 1-74,text,true,,9851,171,496,496,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,580,0,37
1561377960643,7226,HTTP请求,200,OK,线程组 1-424,text,true,,21923,311,495,495,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,1961,0,43
1561377960643,2767,HTTP请求-0,302,Found,线程组 1-424,text,true,,12072,140,495,495,http://47.92.89.243:7801/Device/Devicemanage,1961,0,43
1561377963411,4458,HTTP请求-1,200,OK,线程组 1-424,text,true,,9851,171,495,495,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3523,0,3036
1561377960360,8930,HTTP请求,200,OK,线程组 1-224,text,true,,21923,311,494,494,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,5736,0,37
1561377960360,5775,HTTP请求-0,302,Found,线程组 1-224,text,true,,12072,140,494,494,http://47.92.89.243:7801/Device/Devicemanage,5736,0,37
1561377966135,3155,HTTP请求-1,200,OK,线程组 1-224,text,true,,9851,171,494,494,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3118,0,3038
1561377960557,11094,HTTP请求,200,OK,线程组 1-458,text,true,,21923,311,493,493,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,1779,0,233
1561377960557,4551,HTTP请求-0,302,Found,线程组 1-458,text,true,,12072,140,493,493,http://47.92.89.243:7801/Device/Devicemanage,1779,0,233
1561377965108,6543,HTTP请求-1,200,OK,线程组 1-458,text,true,,9851,171,493,493,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,6512,0,6038
1561377960521,13792,HTTP请求,200,OK,线程组 1-177,text,true,,21923,311,492,492,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,10578,0,47
1561377960521,10618,HTTP请求-0,302,Found,线程组 1-177,text,true,,12072,140,492,492,http://47.92.89.243:7801/Device/Devicemanage,10578,0,47
1561377971140,3173,HTTP请求-1,200,OK,线程组 1-177,text,true,,9851,171,492,492,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3132,0,3045
1561377960451,13904,HTTP请求,200,OK,线程组 1-158,text,true,,21923,311,491,491,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,10309,0,31
1561377960451,10755,HTTP请求-0,302,Found,线程组 1-158,text,true,,12072,140,491,491,http://47.92.89.243:7801/Device/Devicemanage,10309,0,31
1561377971206,3149,HTTP请求-1,200,OK,线程组 1-158,text,true,,9851,171,491,491,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3114,0,3037
1561377960681,16613,HTTP请求,200,OK,线程组 1-448,text,true,,21923,311,490,490,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3260,0,40
1561377960681,7460,HTTP请求-0,302,Found,线程组 1-448,text,true,,12072,140,490,490,http://47.92.89.243:7801/Device/Devicemanage,3260,0,40
1561377968141,9153,HTTP请求-1,200,OK,线程组 1-448,text,true,,9851,171,490,490,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,9117,0,9038
1561377960725,16644,HTTP请求,200,OK,线程组 1-11,text,true,,21923,311,489,489,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,5712,0,33
1561377960725,7473,HTTP请求-0,302,Found,线程组 1-11,text,true,,12072,140,489,489,http://47.92.89.243:7801/Device/Devicemanage,5712,0,33
1561377968198,9171,HTTP请求-1,200,OK,线程组 1-11,text,true,,9851,171,489,489,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,9129,0,9042
1561377960481,16978,HTTP请求,200,OK,线程组 1-134,text,true,,21923,311,488,488,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3367,0,39
1561377960481,7822,HTTP请求-0,302,Found,线程组 1-134,text,true,,12072,140,488,488,http://47.92.89.243:7801/Device/Devicemanage,3367,0,39
1561377968303,9156,HTTP请求-1,200,OK,线程组 1-134,text,true,,9851,171,488,488,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,9120,0,9042
1561377960759,16769,HTTP请求,200,OK,线程组 1-285,text,true,,21923,311,487,487,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3382,0,45
1561377960759,7586,HTTP请求-0,302,Found,线程组 1-285,text,true,,12072,140,487,487,http://47.92.89.243:7801/Device/Devicemanage,3382,0,45
1561377968345,9183,HTTP请求-1,200,OK,线程组 1-285,text,true,,9851,171,487,487,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,9142,0,9049
1561377960751,16783,HTTP请求,200,OK,线程组 1-170,text,true,,21923,311,487,487,http://47.92.89.243:7801/UserLogin/Index?ReturnUrl=%2fDevice%2fDevicemanage,3391,0,43
1561377960751,7633,HTTP请求-0,302,Found,线程组 1-170,text,true,,12072,140,487,487,http://47.92.89.243:7801/Device/Devicemanage,3391,0,43
